pipeline_name,task_name,runtime,retry_count,rows_processed,schema_change,upstream_failed,error_log,root_cause,timestamp
payment_pipeline,validate_payments,50,4,46,True,True,SourceUnavailableError: table 'raw.events' has no partition for date=2026-03-01.,Missing Data,2024-03-14T13:46:00+00:00
cost_tracking_pipeline,scan_containers,2002,0,373976,False,False,"MemoryError: unable to allocate 15.0 GiB. Worker OOM killed by kernel. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-07T21:21:00+00:00
k8s_monitoring_pipeline,collect_traces,2938,0,152795,False,False,ResourceError: CPU throttled. Container exceeds cgroup limit on pod details-v1-79548dfc8f-22flc. Context: FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-16T01:30:00+00:00
service_mesh_pipeline,analyze_metrics,2431,2,179980,False,False,ResourceError: CPU throttled. Container exceeds cgroup limit on pod details-v1-79548dfc8f-22flc. Context: FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-16T14:39:00+00:00
deployment_pipeline,process_logs,3294,2,165647,False,False,KilledWorker: task exceeded memory limit and was killed by orchestrator on ip-10-1-100-109|web|ap-. Context: ip-10-1-13-87 ec2net: [get_meta] Querying IMDS for meta-data/network/interfaces/macs/0e:1a:8b:75:10:6b/local-ipv4s | ip-10-1-100-128 systemd: Started Session 133 of user root. | ip-10-1-13-124 dhclient[2410]: bound to 10.1.13.124 -- renewal in 1654 seconds.,Resource Exhaustion,2024-01-25T19:35:00+00:00
cost_tracking_pipeline,parse_events,120,3,217676,False,False,MemoryError: unable to allocate 6.8 GiB. Worker OOM killed by kernel. Context: FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-16T15:52:00+00:00
payment_pipeline,aggregate_payments,30,1,93,False,False,SourceUnavailableError: table 'raw.events' has no partition for date=2026-03-01.,Missing Data,2024-03-13T17:28:00+00:00
recommendation_pipeline,fetch_interactions,24,0,0,False,True,"CascadeFailure: 3 upstream dependencies failed: order_etl, payment, billing.",Dependency Failure,2024-03-08T13:36:00+00:00
data_quality_pipeline,run_checks,48,4,82,False,True,EmptyDatasetError: source query returned 0 rows. Expected at least 10000.,Missing Data,2024-02-02T21:21:00+00:00
ml_training_pipeline,prepare_dataset,10,3,0,False,True,UpstreamFailure: sensor timed out waiting for DAG 'payment_pipeline' to complete.,Dependency Failure,2024-03-03T06:05:00+00:00
data_quality_pipeline,run_checks,60,1,15,False,False,TimeoutError: waited 3600s for upstream data but file never appeared.,Missing Data,2024-02-01T01:27:00+00:00
search_index_pipeline,fetch_catalog,94,2,304,True,True,SchemaError: new column 'phone_hash' detected but not in expected schema.,Schema Change,2024-03-12T09:50:00+00:00
cluster_ops_pipeline,scan_containers,3072,4,21589,False,False,MemoryError: unable to allocate 6.0 GiB. Worker OOM killed by kernel. Context: FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-15T14:42:00+00:00
resource_mgmt_pipeline,check_endpoints,2783,2,67470,False,False,"MemoryError: unable to allocate 4.1 GiB. Worker OOM killed by kernel. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-07T22:23:00+00:00
deployment_pipeline,parse_events,3441,4,252482,False,False,"DiskFullError: /tmp is at 100% capacity on pod ip-10-1-100-109|web|ap-. Cannot write results. Context: ip-10-1-13-87 ec2net: [get_meta] Trying to get http://169.254.169.254/latest/meta-data/network/interfaces/macs/0e:1a:8b:75:10:6b/local-ipv4s | ip-10-1-13-124 systemd: Started Session 134 of user root. | ip-10-1-100-128 dhclient[2114]: XMT: Solicit on eth0, interval 119960ms.",Resource Exhaustion,2024-01-24T18:25:00+00:00
payment_pipeline,fetch_payments,52,3,71,False,False,SourceUnavailableError: table 'raw.events' has no partition for date=2026-03-01.,Missing Data,2024-01-21T06:25:00+00:00
payment_pipeline,validate_payments,40,2,64,True,True,"KeyError: column ""age"" not found in dataframe. Schema may have changed upstream.",Schema Change,2024-01-17T06:58:00+00:00
marketing_pipeline,extract_campaigns,20,0,0,False,True,PipelineAborted: parent DAG 'analytics_pipeline' was manually stopped by operator.,Dependency Failure,2024-02-07T19:04:00+00:00
load_balancer_pipeline,evaluate_sli,542,5,92608,False,False,HTTPError: 429 Too Many Requests from scenario10-bot-deployment-69bbf69f44-9sg9c. Rate limit exceeded. Context: stderr F Failed password for root from 10.1.64.117 port 53944 ssh2 | stderr F Failed password for root from 10.1.64.117 port 43844 ssh2 | stderr F Failed password for root from 10.1.64.117 port 60928 ssh2,API Failure,2024-01-16T12:11:00+00:00
cost_tracking_pipeline,sync_config,3518,0,32950,False,False,"ResourceError: CPU throttled. Container exceeds cgroup limit on pod productpage-v1-7f4c6b8f9-6b9r5. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-07T06:40:00+00:00
order_etl_pipeline,transform_orders,16,1,0,True,True,DependencyError: upstream pipeline 'user_etl_pipeline' failed. Cannot proceed.,Dependency Failure,2024-03-17T21:45:00+00:00
k8s_monitoring_pipeline,check_pod_health,2582,0,24542,False,False,MemoryError: unable to allocate 12.5 GiB. Worker OOM killed by kernel. Context: FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-15T20:48:00+00:00
cloud_infra_pipeline,check_endpoints,3535,4,465473,False,False,"ResourceError: CPU throttled. Container exceeds cgroup limit on pod productpage-v1-7f4c6b8f9-6b9r5. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-07T04:03:00+00:00
microservice_health_pipeline,check_pod_health,1369,5,388579,False,False,"DiskFullError: /tmp is at 100% capacity on pod productpage-v1-7f4c6b8f9-6b9r5. Cannot write results. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-07T09:45:00+00:00
clickstream_pipeline,collect_events,24,2,17,False,False,EmptyFileError: downloaded file is 0 bytes. Source may have failed silently.,Missing Data,2024-03-24T17:46:00+00:00
error_tracking_pipeline,sync_config,754,1,135107,False,False,ResourceError: CPU throttled. Container exceeds cgroup limit on pod details-v1-79548dfc8f-22flc. Context: FATAL SignalException: SIGTERM | ERROR `/' not found. | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-15T06:02:00+00:00
billing_pipeline,calculate_usage,87,1,255,True,False,"PandasError: column 'user_id' dtype mismatch: expected int64, got object.",Schema Change,2024-03-17T02:02:00+00:00
data_quality_pipeline,alert_owners,59,0,376,True,False,"PandasError: column 'user_id' dtype mismatch: expected int64, got object.",Schema Change,2024-01-08T02:28:00+00:00
load_balancer_pipeline,parse_events,2101,3,27496,False,False,"KilledWorker: task exceeded memory limit and was killed by orchestrator on productpage-v1-94d68db49-zvtz8. Context: Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecated, use ""isMainRequest()"" instead. {""exception"":""[object] (ErrorExce | Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecated, use ""isMainRequest()"" instead. {""exception"":""[object] (ErrorExce | Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is d...",Resource Exhaustion,2023-12-22T11:59:00+00:00
k8s_monitoring_pipeline,validate_deployment,1283,0,86256,False,False,KilledWorker: task exceeded memory limit and was killed by orchestrator on ip-10-1-100-109|web|ap-. Context: ip-10-1-13-124 ec2net: [remove_aliases] Removing aliases of eth0 | ip-10-1-13-87 ec2net: [get_meta] Getting token for IMDSv2. | ip-10-1-13-124 ec2net: [get_meta] Querying IMDS for meta-data/network/interfaces/macs/0e:33:5f:ae:eb:d9/local-ipv4s,Resource Exhaustion,2024-01-24T04:44:00+00:00
service_mesh_pipeline,audit_resources,500,9,74214,False,False,ConnectionError: max retries exceeded connecting to scenario10-bot-deployment-69bbf69f44-9sg9c:8080. Context: stderr F Failed password for root from 10.1.64.117 port 48302 ssh2 | stderr F Failed password for root from 10.1.64.117 port 59372 ssh2 | stderr F Failed password for root from 10.1.64.117 port 57824 ssh2,API Failure,2024-01-16T06:32:00+00:00
cloud_infra_pipeline,detect_anomaly,3384,0,47779,False,False,KilledWorker: task exceeded memory limit and was killed by orchestrator on details-v1-79548dfc8f-22flc. Context: FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-16T07:48:00+00:00
marketing_pipeline,extract_campaigns,20,2,0,False,True,"CascadeFailure: 3 upstream dependencies failed: order_etl, payment, billing.",Dependency Failure,2024-01-05T19:53:00+00:00
order_etl_pipeline,extract_orders,11,2,0,False,True,PipelineAborted: parent DAG 'analytics_pipeline' was manually stopped by operator.,Dependency Failure,2024-03-23T11:24:00+00:00
order_etl_pipeline,load_orders,745,1,57160,False,False,DuplicateKeyError: 340 duplicate primary keys found in 'users' table.,Data Quality Issue,2024-02-26T09:15:00+00:00
billing_pipeline,apply_pricing,24,3,0,False,True,TaskFailedError: depends on 'extract_orders' which has status=FAILED.,Dependency Failure,2024-02-18T23:44:00+00:00
customer_360_pipeline,enrich_profiles,32,2,17,False,False,DataNotReadyError: partition not yet available. Upstream ETL may be delayed.,Missing Data,2024-01-30T21:29:00+00:00
order_etl_pipeline,load_orders,0,2,0,False,True,DependencyNotMet: required dataset from 'inventory_sync' not available.,Dependency Failure,2024-03-04T09:14:00+00:00
deployment_pipeline,sync_config,2709,4,259408,False,False,"DiskFullError: /tmp is at 100% capacity on pod ip-10-1-100-109|web|ap-. Cannot write results. Context: ip-10-1-13-124 ec2net: [get_meta] Querying IMDS for meta-data/network/interfaces/macs/0e:33:5f:ae:eb:d9/local-ipv4s | ip-10-1-100-128 dhclient[2114]: XMT: Solicit on eth0, interval 118050ms. | ip-10-1-100-128 systemd: Started Session 133 of user root.",Resource Exhaustion,2024-01-24T01:15:00+00:00
deployment_pipeline,check_endpoints,1357,0,22531,False,False,"KilledWorker: task exceeded memory limit and was killed by orchestrator on productpage-v1-94d68db49-zvtz8. Context: Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecated, use ""isMainRequest()"" instead. {""exception"":""[object] (ErrorExce | Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecated, use ""isMainRequest()"" instead. {""exception"":""[object] (ErrorExce | Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is d...",Resource Exhaustion,2023-12-21T19:28:00+00:00
search_index_pipeline,build_index,25,1,72,False,False,DataNotReadyError: partition not yet available. Upstream ETL may be delayed.,Missing Data,2024-01-14T23:33:00+00:00
resource_mgmt_pipeline,check_pod_health,1631,5,132821,False,False,"KilledWorker: task exceeded memory limit and was killed by orchestrator on ip-10-1-100-109|web|ap-. Context: ip-10-1-100-128 dhclient[2114]: XMT: Solicit on eth0, interval 113550ms. | ip-10-1-13-87 dhclient[2141]: XMT: Solicit on eth0, interval 125420ms. | ip-10-1-100-128 systemd: Created slice User Slice of root.",Resource Exhaustion,2024-01-25T12:12:00+00:00
cloud_infra_pipeline,check_endpoints,1135,0,348877,False,False,ResourceError: CPU throttled. Container exceeds cgroup limit on pod details-v1-79548dfc8f-22flc. Context: FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-16T14:43:00+00:00
load_balancer_pipeline,validate_deployment,1315,1,342033,False,False,DiskFullError: /tmp is at 100% capacity on pod details-v1-79548dfc8f-22flc. Cannot write results. Context: FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-15T03:50:00+00:00
customer_360_pipeline,merge_profiles,287,0,121665,False,False,RangeError: column 'age' contains values > 200. Max allowed is 150.,Data Quality Issue,2024-03-06T06:54:00+00:00
microservice_health_pipeline,evaluate_sli,2019,0,482716,False,False,KilledWorker: task exceeded memory limit and was killed by orchestrator on details-v1-79548dfc8f-22flc. Context: FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-15T21:32:00+00:00
error_tracking_pipeline,scan_containers,584,5,73475,False,False,HTTPError: 503 Service Unavailable from pod scenario10-bot-deployment-69bbf69f44-9sg9c. Context: stderr F Failed password for root from 10.1.64.117 port 52296 ssh2 | stderr F Failed password for root from 10.1.64.117 port 47466 ssh2 | stderr F Failed password for root from 10.1.64.117 port 53160 ssh2,API Failure,2024-01-16T05:11:00+00:00
latency_monitoring_pipeline,detect_anomaly,362,3,13903,False,False,HTTPError: 429 Too Many Requests from scenario10-bot-deployment-69bbf69f44-9sg9c. Rate limit exceeded. Context: stderr F Failed password for root from 10.1.64.117 port 55232 ssh2 | stderr F Failed password for root from 10.1.64.117 port 34154 ssh2 | stderr F Failed password for root from 10.1.64.117 port 43338 ssh2,API Failure,2024-01-16T01:39:00+00:00
recommendation_pipeline,build_features,535,2,160994,False,False,FreshnessError: latest record is from 2026-02-28. Data is 3 days stale.,Data Quality Issue,2024-01-15T18:15:00+00:00
data_quality_pipeline,generate_report,18,0,50,True,False,ColumnNotFoundError: 'subscription_tier' removed in upstream migration.,Schema Change,2024-03-09T04:50:00+00:00
analytics_pipeline,export_dashboards,49,1,22,False,False,TimeoutError: waited 3600s for upstream data but file never appeared.,Missing Data,2024-01-16T06:14:00+00:00
autoscale_pipeline,validate_deployment,1841,1,478492,False,False,DiskFullError: /tmp is at 100% capacity on pod ip-10-1-100-109|web|ap-. Cannot write results. Context: ip-10-1-13-87 NET: dhclient: Locked /run/dhclient/resolv.lock | ip-10-1-100-128 systemd: Started Session 132 of user root. | ip-10-1-13-87 ec2net: [get_meta] Trying to get http://169.254.169.254/latest/meta-data/network/interfaces/macs/0e:1a:8b:75:10:6b/local-ipv4s,Resource Exhaustion,2024-01-25T13:19:00+00:00
autoscale_pipeline,run_diagnostics,554,8,75996,False,False,TimeoutError: API call to scenario10-bot-deployment-69bbf69f44-9sg9c timed out after 30s. DDoS suspected. Context: stderr F Failed password for root from 10.1.64.117 port 55354 ssh2 | stdout F reply: 'HTTP/1.1 503 Service Unavailable\\r\\n' | stderr F Failed password for root from 10.1.64.117 port 34488 ssh2,API Failure,2024-01-16T22:40:00+00:00
notification_pipeline,gather_triggers,784,2,16433,False,False,DataQualityError: column 'email' has 45% null values. Threshold is 5%.,Data Quality Issue,2024-02-09T06:00:00+00:00
resource_mgmt_pipeline,scan_containers,603,0,246109,False,False,"DiskFullError: /tmp is at 100% capacity on pod productpage-v1-7f4c6b8f9-6b9r5. Cannot write results. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-08T04:02:00+00:00
recommendation_pipeline,fetch_interactions,22,2,55,True,False,"PandasError: column 'user_id' dtype mismatch: expected int64, got object.",Schema Change,2024-03-18T06:04:00+00:00
cloud_infra_pipeline,collect_traces,1047,2,405078,False,False,KilledWorker: task exceeded memory limit and was killed by orchestrator on details-v1-79548dfc8f-22flc. Context: FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-16T23:29:00+00:00
security_scan_pipeline,analyze_metrics,2285,2,329794,False,False,"DiskFullError: /tmp is at 100% capacity on pod productpage-v1-94d68db49-zvtz8. Cannot write results. Context: Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecated, use ""isMainRequest()"" instead. {""exception"":""[object] (ErrorExce | Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecated, use ""isMainRequest()"" instead. {""exception"":""[object] (ErrorExce | Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is depreca...",Resource Exhaustion,2023-12-22T16:35:00+00:00
ml_training_pipeline,prepare_dataset,24,2,0,False,True,DependencyNotMet: required dataset from 'inventory_sync' not available.,Dependency Failure,2024-01-20T09:30:00+00:00
cost_tracking_pipeline,monitor_latency,466,9,49752,False,False,ConnectionError: max retries exceeded connecting to scenario10-bot-deployment-69bbf69f44-9sg9c:8080. Context: stderr F Failed password for root from 10.1.64.117 port 59010 ssh2 | stderr F Failed password for root from 10.1.64.117 port 53954 ssh2 | stderr F Failed password for root from 10.1.64.117 port 37942 ssh2,API Failure,2024-01-16T08:19:00+00:00
clickstream_pipeline,collect_events,27,1,109,True,False,ColumnNotFoundError: 'subscription_tier' removed in upstream migration.,Schema Change,2024-03-08T09:24:00+00:00
deployment_pipeline,evaluate_sli,1173,3,282283,False,False,"KilledWorker: task exceeded memory limit and was killed by orchestrator on productpage-v1-7f4c6b8f9-6b9r5. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-08T13:16:00+00:00
load_balancer_pipeline,scan_containers,3493,2,172645,False,False,"DiskFullError: /tmp is at 100% capacity on pod productpage-v1-7f4c6b8f9-6b9r5. Cannot write results. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-08T10:34:00+00:00
error_tracking_pipeline,scan_containers,415,4,57171,False,False,TimeoutError: API call to scenario10-bot-deployment-69bbf69f44-9sg9c timed out after 30s. DDoS suspected. Context: stderr F Failed password for root from 10.1.64.117 port 40954 ssh2 | stderr F Failed password for root from 10.1.64.117 port 36356 ssh2 | stderr F Failed password for root from 10.1.64.117 port 40178 ssh2,API Failure,2024-01-15T09:07:00+00:00
container_orchestration_pipeline,run_diagnostics,1687,0,480090,False,False,ResourceError: CPU throttled. Container exceeds cgroup limit on pod details-v1-79548dfc8f-22flc. Context: FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-16T21:29:00+00:00
marketing_pipeline,generate_reports,373,1,61434,True,False,DuplicateKeyError: 340 duplicate primary keys found in 'users' table.,Data Quality Issue,2024-02-26T10:29:00+00:00
user_etl_pipeline,transform_users,7,3,0,False,True,UpstreamFailure: sensor timed out waiting for DAG 'payment_pipeline' to complete.,Dependency Failure,2024-03-11T19:32:00+00:00
payment_pipeline,aggregate_payments,29,2,0,False,True,"CascadeFailure: 3 upstream dependencies failed: order_etl, payment, billing.",Dependency Failure,2024-02-25T10:29:00+00:00
payment_pipeline,validate_payments,278,1,16370,False,True,RangeError: column 'age' contains values > 200. Max allowed is 150.,Data Quality Issue,2024-02-10T08:31:00+00:00
autoscale_pipeline,audit_resources,1766,0,165701,False,False,"ResourceError: CPU throttled. Container exceeds cgroup limit on pod productpage-v1-94d68db49-zvtz8. Context: Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecated, use ""isMainRequest()"" instead. {""exception"":""[object] (ErrorExce | Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecated, use ""isMainRequest()"" instead. {""exception"":""[object] (ErrorExce | Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecat...",Resource Exhaustion,2023-12-21T16:38:00+00:00
latency_monitoring_pipeline,aggregate_kpi,2969,0,35079,False,False,"KilledWorker: task exceeded memory limit and was killed by orchestrator on productpage-v1-7f4c6b8f9-6b9r5. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-07T08:15:00+00:00
cluster_ops_pipeline,sync_config,902,2,237752,False,False,"ResourceError: CPU throttled. Container exceeds cgroup limit on pod productpage-v1-7f4c6b8f9-6b9r5. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-07T08:58:00+00:00
customer_360_pipeline,enrich_profiles,15,1,0,False,True,"CascadeFailure: 3 upstream dependencies failed: order_etl, payment, billing.",Dependency Failure,2024-02-20T22:37:00+00:00
order_etl_pipeline,extract_orders,58,1,492,True,False,"PandasError: column 'user_id' dtype mismatch: expected int64, got object.",Schema Change,2024-02-22T11:33:00+00:00
inventory_sync,reconcile_stock,107,1,358,True,False,SchemaError: new column 'phone_hash' detected but not in expected schema.,Schema Change,2024-01-23T07:16:00+00:00
deployment_pipeline,run_diagnostics,69,5,157219,False,False,"ResourceError: CPU throttled. Container exceeds cgroup limit on pod ip-10-1-100-109|web|ap-. Context: ip-10-1-100-128 dhclient[2114]: XMT: Solicit on eth0, interval 113550ms. | ip-10-1-13-87 ec2net: [get_meta] Getting token for IMDSv2. | ip-10-1-13-124 dhclient[2410]: bound to 10.1.13.124 -- renewal in 1654 seconds.",Resource Exhaustion,2024-01-25T13:52:00+00:00
cloud_infra_pipeline,evaluate_sli,1628,2,211748,False,False,ResourceError: CPU throttled. Container exceeds cgroup limit on pod details-v1-79548dfc8f-22flc. Context: ERROR `/' not found. | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-15T16:00:00+00:00
deployment_pipeline,monitor_latency,3049,3,278153,False,False,"ResourceError: CPU throttled. Container exceeds cgroup limit on pod productpage-v1-94d68db49-zvtz8. Context: Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecated, use ""isMainRequest()"" instead. {""exception"":""[object] (ErrorExce | Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecated, use ""isMainRequest()"" instead. {""exception"":""[object] (ErrorExce | Symfony\\Component\\HttpKernel\\Event\\KernelEvent::isMasterRequest()"" is deprecat...",Resource Exhaustion,2023-12-22T22:41:00+00:00
clickstream_pipeline,collect_events,45,1,53,False,False,SourceUnavailableError: table 'raw.events' has no partition for date=2026-03-01.,Missing Data,2024-02-21T03:23:00+00:00
data_quality_pipeline,generate_report,60,2,498,True,False,SchemaError: new column 'phone_hash' detected but not in expected schema.,Schema Change,2024-03-05T20:28:00+00:00
error_tracking_pipeline,check_endpoints,2812,3,409086,False,False,"DiskFullError: /tmp is at 100% capacity on pod ip-10-1-100-109|web|ap-. Cannot write results. Context: ip-10-1-100-128 systemd: Started Session 133 of user root. | ip-10-1-13-87 dhclient[2141]: XMT: Solicit on eth0, interval 125420ms. | ip-10-1-13-124 dhclient[2410]: DHCPACK from 10.1.13.1 (xid=0x1f5abfb3)",Resource Exhaustion,2024-01-25T06:23:00+00:00
load_balancer_pipeline,check_pod_health,320,3,456621,False,False,DiskFullError: /tmp is at 100% capacity on pod details-v1-79548dfc8f-22flc. Cannot write results. Context: ERROR `/' not found. | FATAL SignalException: SIGTERM | FATAL SignalException: SIGTERM,Resource Exhaustion,2024-02-15T12:49:00+00:00
recommendation_pipeline,build_features,5,2,56,False,False,DataNotReadyError: partition not yet available. Upstream ETL may be delayed.,Missing Data,2024-03-10T07:04:00+00:00
payment_pipeline,validate_payments,25,3,10,False,True,NullSourceError: upstream dataset is NULL — ingestion may not have run.,Missing Data,2024-02-27T20:44:00+00:00
customer_360_pipeline,merge_profiles,104,1,15,True,False,ColumnNotFoundError: 'subscription_tier' removed in upstream migration.,Schema Change,2024-02-09T14:21:00+00:00
payment_pipeline,validate_payments,37,0,190,True,False,SchemaError: new column 'phone_hash' detected but not in expected schema.,Schema Change,2024-02-21T12:05:00+00:00
service_mesh_pipeline,run_diagnostics,335,3,108323,False,False,"KilledWorker: task exceeded memory limit and was killed by orchestrator on productpage-v1-7f4c6b8f9-6b9r5. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-07T13:37:00+00:00
ml_training_pipeline,train_model,113,0,407,True,False,SchemaError: new column 'phone_hash' detected but not in expected schema.,Schema Change,2024-01-16T21:40:00+00:00
